,Time,SAggd,Article_Count
248,2020-11-25,-0.0772432057142857,14
249,2020-11-26,0.004575195000000001,2
250,2020-11-27,0.09499087599999999,5
251,2020-11-30,-0.4586022557142857,7
252,2020-12-01,0.11967519166666667,12
253,2020-12-02,-0.34637813666666667,3
254,2020-12-03,0.09017318300000002,10
255,2020-12-04,0.09453760545454547,11
256,2020-12-07,-0.39355613875,8
257,2020-12-08,-0.04285205999999999,10
258,2020-12-09,-0.06517775333333335,12
259,2020-12-10,0.5170032777777778,9
260,2020-12-11,-0.6012376319999999,5
261,2020-12-13,-0.9994866,1
262,2020-12-14,0.21748297444444445,9
263,2020-12-15,0.38856243333333335,3
264,2020-12-16,-0.2074489777777778,9
265,2020-12-17,-0.37438521,6
266,2020-12-18,0.6727374471428572,7
267,2020-12-21,-0.4485760683333333,6
268,2020-12-22,-0.07597431857142856,7
269,2020-12-23,-0.288875945,14
270,2020-12-24,3.2500000000000002e-06,1
271,2020-12-28,0.03161663400000002,5
272,2020-12-29,0.5003483959999999,5
273,2020-12-30,-0.27362617499999997,8
274,2020-12-31,0.8287232499999999,2
